image,text
books/books1.png,نہ لا تعلق رہو، نہ توقعات پال لو
books/books2.png,عبداللہ
books/books3.png,اردو ناولوں کا مجموعہ
books/books4.png,الحاصل
books/books5.png,تم مجھے یاد آؤ گے
books/books6.png,محبت انسان کو بدل دیتی ہے
books/books7.png,حاصل
books/books8.png,راز، زندگی، سکون
books/books9.png,واہ انسان، یہ تیرا امتحان ہے
books/books10.png,عبداللہ
books/books11.png,رمان دل
books/books12.png,چہرہ
books/books13.png,موجودہ
books/books14.png,راز پنہاں
books/books15.png,چاند کی تلاش انسان نے نہیں روکی
books/books16.png,زندگی کو دوسروں سے مت ناپو
books/books17.png,دنیا کو کوئی روزہ دار مکمل سمجھ کر مت اپناؤ
books/books18.png,تمہارا انتظار ہمیشہ رہے گا
books/books19.png,تکبر انسان کو اندھا کر دیتا ہے
books/books20.png,کچھ لوگ دل میں ہمیشہ رہ جاتے ہیں
books/books21.png,مولانا صفی الرحمن مبارک پوری ۶ جون ۱۹۴۳ء کو ہندوستان کے صوبہ اتر پردیش کے ضلع اعظم گڑھ کے ایک قصبہ مبارک پور کے قریب واقع گاؤں حسین آباد میں پیدا ہوئے۔ انھوں نے قرآن پاک کی تعلیم اپنے دادا اور چچا سے حاصل کی۔ ۱۹۳۸ء میں مدرسہ عربیہ دارالتعليم مبارک پور میں داخلہ لے کر عربی اور فارسی کی تعلیم کا آغاز کیا۔ ۱۹۵۲ء میں مدرسہ احیاء العلوم مبارک پور میں داخل ہوئے اور دو سال بعد مزید تعلیم کے لیے مدرسہ فیض عام مئو چلے گئے۔ سات سالہ تعلیمی دور کے بعد سندِ فضیلت حاصل کی۔ ۱۹۵۹ء میں مولوی اور ۱۹۶۰ء میں عالم کی اسناد حاصل کیں۔ تقریباً اٹھائیس سال مختلف مدارس اور جامعات میں تدریس کی۔ مولانا صفی الرحمن کی شہرت ان کی کتاب الرحیق المختوم کی وجہ سے ہوئی جو سیرتِ نبوی ﷺ پر ایک مستند کتاب ہے۔ ۱۹۷۶ء میں اس کتاب نے رابطہ عالم اسلامی کے عالمی مقابلے میں اول انعام حاصل کیا۔
books/books22.png,قدرت اللہ شہاب گلگت میں پیدا ہوئے۔ ابتدائی تعلیم گلگت اور جموں و کشمیر میں حاصل کی جبکہ اعلیٰ تعلیم گورنمنٹ کالج لاہور سے ایم اے انگریزی کی صورت میں مکمل کی۔ ۱۹۴۱ء میں انڈین سول سروس کا امتحان امتیازی حیثیت سے پاس کیا اور ریاست جموں و کشمیر کے پہلے مسلمان آئی سی ایس افسر بنے۔ قیام پاکستان کے بعد مختلف اہم سرکاری عہدوں پر خدمات انجام دیں جن میں سیکریٹری جنرل حکومت آزاد کشمیر، ڈپٹی کمشنر، سیکریٹری اطلاعات، سیکریٹری تعلیم اور دیگر عہدے شامل ہیں۔ وہ ہالینڈ میں پاکستان کے سفیر بھی رہے اور پاکستان رائٹرز گلڈ کے قیام میں اہم کردار ادا کیا۔
books/books23.png,وہ کھانے پینے میں انتہائی سادہ مزاج تھیں۔ ان کی پسندیدہ غذا مکئی کی روٹی اور دھنیے پودینے کی چٹنی تھی۔ ہر نوالے پر اللہ کا شکر ادا کرتیں، سادہ چائے پیتیں اور عموماً ایک وقت کا کھانا کھاتیں۔ دوسروں کو خوشی سے کھاتے دیکھ کر دعا دیتیں اور ہمیشہ دوسروں کی بھلائی مانگتیں۔ اپنے بچوں کو بھی اللہ کی امانت سمجھتی تھیں اور کبھی انہیں اپنا کہہ کر فخر نہیں کیا۔
books/books24.png,اے بادشاہ! آپ کے ملک میں ہمارے کچھ نوجوان آ گئے ہیں جنہوں نے اپنی قوم کا دین چھوڑ دیا ہے مگر آپ کا دین بھی قبول نہیں کیا بلکہ ایک نیا دین اختیار کر لیا ہے۔ ان کے والدین اور قبیلے کے لوگوں نے ہمیں بھیجا ہے تاکہ آپ انہیں واپس ہمارے حوالے کر دیں کیونکہ وہ ان کے حالات کو بہتر جانتے ہیں۔ دونوں کی بات سننے کے بعد بطریقوں نے بادشاہ سے کہا کہ ان نوجوانوں کو واپس ان کے حوالے کر دینا چاہیے۔
books/books25.png,انٹرنیٹ کی مدد سے امجد اسلام امجد کا ڈراما وارث دیکھیں اور اس میں پیش کیے گئے سماجی، اخلاقی اور نفسیاتی مسائل پر اپنی تنقیدی رائے لکھیں۔ جوڑوں کی صورت میں ڈراما رستم اور سہراب کے مکالموں کو جذبات اور تاثر کے ساتھ ڈرامائی انداز میں پیش کریں۔
books/books26.png,کتاب میز پر رکھو۔ وہ رات تک پڑھتا رہا۔ اس سبق میں حروفِ جار کی مثالیں دی گئی ہیں جن میں لفظ 'پر' اور 'تک' کا استعمال جملوں کے اندر دکھایا گیا ہے۔
books/books27.png,یوسفی صاحب نے ابتدائی تعلیم گھر پر حاصل کی اور عربی، فارسی اور دینیات پڑھی۔ انٹرمیڈیٹ اور بی اے میں نمایاں کامیابی حاصل کرنے کے بعد علی گڑھ یونیورسٹی سے ایم اے فلسفہ کیا۔ پاکستان آنے کے بعد مسلم کمرشل بینک میں ملازمت اختیار کی اور پاکستان بینکنگ کونسل کے چیئرمین بنے۔ مشتاق احمد یوسفی اپنی شگفتہ مزاح نگاری، منفرد اسلوب، تہذیبی شعور اور روزمرہ زندگی کے موضوعات پر گہری بصیرت کے باعث اردو ادب میں منفرد مقام رکھتے ہیں۔
books/books28.png,سرسید احمد خان نے عبد صاحب کی صلاحیت دیکھ کر انہیں وظیفہ دے کر علی گڑھ بلا لیا جہاں انہوں نے تعلیم حاصل کی اور بعد ازاں لیکچرر مقرر ہوئے۔ سرسید چاہتے تھے کہ وہ انگلستان جا کر آئی سی ایس کا امتحان دیں لیکن والدہ کی خواہش پر انہوں نے وظیفہ واپس کر دیا۔ اس فیصلے پر سرسید احمد خان کو بہت افسوس اور غصہ ہوا مگر عبد صاحب اپنے فیصلے پر قائم رہے۔
books/books29.png,گرد کے قریب پہنچنے پر ایک بوڑھا شخص نمودار ہوا جس نے پھٹی ہوئی پگڑی، پیوند لگی شلوار اور بوسیدہ قمیص پہن رکھی تھی۔ اس کا چہرہ گرد آلود اور پاؤں ننگے تھے۔ وہ تیزی سے عمارت کی طرف بڑھا لیکن دروازے پر موجود نوجوان نے اسے روک کر پوچھا کہ آپ پہلے کہاں تھے؟
books/books30.png,سبق کے آغاز میں افسانہ نگار غوث بہار اور مترجم غنی پرواز کا تعارف کرایا جائے۔ طلبہ کو بلوچی ادب اور اس کے اردو تراجم کی اہمیت سے آگاہ کیا جائے۔ افسانے کے عنوان محشر، کردار نگاری، ماحول، سماجی پس منظر اور اخلاقی پیغام پر گفتگو کرائی جائے۔
books/books31.png,تحریکِ پاکستان کے پس منظر اور قراردادِ لاہور کی اہمیت کو سمجھنا، مینارِ پاکستان کی قومی و تاریخی اہمیت سے آگاہی حاصل کرنا، قومی یادگاروں کے احترام کا شعور پیدا کرنا، ادبی نثر کے اسلوب اور فکری گہرائی کو سمجھنا، اور مختار مسعود کی شخصیت و ادبی خدمات سے روشناس ہونا۔
books/books32.png,کافی کی خوشبو اور ذائقے کے بارے میں دو افراد کے درمیان مزاحیہ انداز میں گفتگو کی گئی ہے جس میں حسِ شامہ، ذوق اور روزمرہ زندگی کے دلچسپ پہلوؤں کو بیان کیا گیا ہے۔
